CONFIGURATION_2-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_2-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_2-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v	CONFIGURATION_2-PLANE_1-OBJECT_3-REDSHIFT	CONFIGURATION_2-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-i	WEIGHT
0.51748705	21.79264069	1102.0936000000002	0.51748705	21.06340218	1.0
0.5984131	21.57978821	900.4949999999999	0.5984131	21.24752808	1.0
0.5186172	20.59159088	728.0636	0.5186172	20.21905327	1.0
0.7028494	20.99538231	1222.7298500000002	0.7028494	21.64336014	1.0
0.5798334	19.84409332	937.7556500000001	0.5798334	20.89180756	1.0
0.33934048	19.64757919	1082.7709	0.33934048	20.0522995	1.0
0.34796438	19.94621658	1034.3721	0.34796438	19.50107002	1.0
0.58581805	20.24779892	1290.3662	0.58581805	20.92714691	1.0
0.31747463	22.59225655	926.63345	0.31747463	22.49403381	1.0
0.53686476	20.25169182	1511.05375	0.53686476	20.38784981	1.0
0.72923076	21.48398018	1887.79	0.72923076	21.50639915	1.0
0.3299987	18.45788193	1103.02605	0.3299987	19.48042107	1.0
0.3180821	20.41089058	986.7888	0.3180821	20.34296417	1.0
0.5814885	20.39169121	1685.02625	0.5814885	20.8774929	1.0
0.64083076	20.7885685	909.1614500000001	0.64083076	20.32554817	1.0
0.5682528	20.85689354	1243.8285999999998	0.5682528	21.79130554	1.0
0.29923996	21.49984169	1058.8546999999999	0.29923996	19.40991592	1.0
0.6340483	20.40587997	1420.69075	0.6340483	19.84805679	1.0
0.5442367	21.43671417	1040.35255	0.5442367	21.26819229	1.0
0.54649955	21.14607239	1313.6226	0.54649955	21.42841339	1.0
0.2969593	19.72472954	1161.54335	0.2969593	20.54425621	1.0
0.33403927	19.95968246	1119.21555	0.33403927	19.5545063	1.0
0.45216206	20.37811279	1057.0005999999998	0.45216206	20.99160194	1.0
0.6960557	20.6374855	1669.013	0.6960557	21.19641685	1.0
0.40294063	21.02555656	883.9209	0.40294063	21.49310303	1.0
0.5486851	20.40673065	1259.5607	0.5486851	19.51371956	1.0
