CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-g	CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-r	CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-i	CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-z	WEIGHT
19.34298134	18.27203369	17.88195038	17.67410469	1.0
21.10905266	20.41040802	20.11922455	19.98237419	1.0
20.86603165	20.6633625	20.63333321	20.66946983	1.0
23.73179245	22.44926071	21.34337044	20.83707428	1.0
22.84392166	22.4939785	22.47032547	22.32878304	1.0
22.12207222	20.61344147	19.93532562	19.62438011	1.0
23.01993752	21.52650833	20.37481308	19.8891449	1.0
20.9454155	20.63107109	20.49948692	20.39902878	1.0
23.56373215	22.17721939	21.428936	21.11031151	1.0
24.67383003	23.1965313	21.76532364	21.15517616	1.0
21.19664383	20.21238899	19.8481636	19.61992836	1.0
23.58096313	22.04034615	20.72156143	20.20814323	1.0
17.40089226	16.55164146	16.28335571	16.13455391	1.0
25.63425446	23.5807476	22.32261848	21.87394524	1.0
21.62308693	21.43616676	21.33145714	21.05555725	1.0
19.71647644	18.77333832	18.4791069	18.3220787	1.0
20.62711143	20.28429031	20.19708633	20.20457649	1.0
20.37445259	20.51566887	21.34333229	19.87995338	1.0
19.70163155	18.29579735	17.05937958	16.53525543	1.0
22.99007416	22.20041466	22.00791168	21.94992638	1.0
22.16729164	21.73272133	21.55912018	21.47690773	1.0
24.2575779	22.88417244	20.97893906	20.12003708	1.0
20.59479713	19.49428368	19.08104324	18.88677788	1.0
23.25811195	21.85131836	20.94650269	20.52945137	1.0
25.00935745	23.08871841	21.84339523	21.27839851	1.0
21.83090401	21.39378357	21.32248878	21.31964493	1.0
24.34687805	22.70655632	22.6319828	22.49887466	1.0
22.42699814	21.92611122	21.77908897	21.8150959	1.0
19.05207062	17.68197632	17.05141449	16.75751114	1.0
20.36516762	18.88875389	17.68984032	17.18861008	1.0
21.55687523	21.2021637	21.0744381	21.13121223	1.0
22.19807243	20.92574692	20.45130157	20.20625687	1.0
25.46383095	23.68600464	22.26004028	21.65728569	1.0
25.66035652	23.76614189	21.63364792	20.82374001	1.0
23.76826096	22.20872307	21.28289986	20.98864174	1.0
22.2102375	21.72772026	21.5799408	21.64812851	1.0
15.29844666	16.99689865	16.70721436	16.60828018	1.0
22.99613953	21.62265587	20.1976757	19.54500389	1.0
17.85920334	17.19049454	16.99534607	16.91225052	1.0
20.75111389	19.2496624	18.00449181	17.49425697	1.0
22.52768707	21.90956306	21.70954323	21.73681641	1.0
21.82856178	20.3306179	19.02052116	18.48621178	1.0
24.48165321	22.90172386	22.14417076	21.89067841	1.0
18.8566494	18.58362579	18.49918938	18.48664665	1.0
23.92726898	22.44783211	21.11671638	20.49970245	1.0
22.84045792	21.33568192	19.74616814	19.05619812	1.0
17.39229584	16.4497261	16.14958191	15.99669266	1.0
24.12465286	22.86407471	22.25138283	22.07498741	1.0
16.74450493	16.26991463	16.14902496	16.10661697	1.0
22.31806755	21.57933617	20.3380909	19.73444176	1.0
24.97691345	24.78223991	22.97545052	22.16152573	1.0
23.67245674	22.18947029	20.31479263	19.55225754	1.0
24.56545067	23.41891098	22.15625	21.55144501	1.0
