CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-g	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-r	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-i	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-z	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-g	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-r	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-i	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-z	WEIGHT
20.63563347	19.17733955	18.06068611	17.59119034	23.62932968	22.35708618	21.75396729	21.44578362	1.0
22.64863205	21.11249352	19.55021477	18.85819435	21.87556267	20.51235962	19.58737564	19.19441986	1.0
22.31236839	21.94840622	21.56342697	21.46788597	21.94473648	21.38569069	21.20493507	21.16888046	1.0
22.88483238	21.66186905	21.03081512	20.7597599	20.29948235	19.17757034	18.76522827	18.57135773	1.0
22.89482498	21.59791756	20.83957291	20.50557709	21.95492363	20.54311371	19.41042709	18.92366409	1.0
25.32373238	23.63810921	22.00658607	21.27366829	20.55377007	20.23649216	20.12028313	20.10781479	1.0
18.22155952	17.30811119	17.03113556	16.88659477	23.84512138	22.59908485	21.59965324	21.11334229	1.0
23.56816483	22.39426804	21.04242706	20.44655228	22.66609573	21.16846085	19.53919411	18.83913231	1.0
22.73267937	22.2002182	22.05558014	21.93140984	23.48989296	21.9297924	20.95947647	20.57216454	1.0
22.81020737	21.61996078	20.68239784	20.19183731	19.61402702	18.52210999	18.13592911	17.92159462	1.0
20.98482132	19.47649956	18.034338	17.40271187	23.73694611	22.75200844	21.56230736	20.92343521	1.0
22.46396255	21.73256493	21.4642849	21.30371284	21.73721313	20.38998795	19.62789726	19.28223801	1.0
18.31774139	16.92190742	16.1777916	15.8556776	20.66140366	20.3741684	20.25723839	20.12231636	1.0
16.92366982	16.44206238	16.32905006	16.29056931	25.14683533	23.59473228	22.03185272	21.50473404	1.0
20.68954849	20.3370018	20.23283577	20.22803879	20.09004593	19.82118225	19.76155472	19.77890778	1.0
24.26434517	22.65215683	21.43740463	20.88664055	17.40806389	16.72627258	16.5542469	16.46279335	1.0
21.03601265	20.72657776	20.71671486	20.6776638	22.90492058	21.46205711	20.03721809	19.3855896	1.0
